price,Score Rank (%),Owners
60,50,7139179
60,34,1880186
60,44,4177929
60,69,1601886
60,29,1445061
60,75,217884
60,20,1507191
60,39,438553
60,10,244021
60,13,220241
60,46,334860
60,79,1852549
60,55,3052517
60,7,454835
60,39,2524411
50,4,801050
50,24,1131839
50,19,1159905
45,32,928095
40,75,3076512
40,66,974157
40,97,2956965
40,50,5875581
40,79,1201039
40,55,572026
40,86,1427707
40,97,1724432
35,83,349214
35,24,3592192
30,34,2448784
30,27,4843793
30,95,10035085
30,83,3337887
30,48,1150478
30,35,1030289
30,95,637798
30,26,1020862
30,66,1224606
25,48,2279961
25,72,2212903
25,46,816690
20,99,876892
20,18,5571358
20,86,5390109
20,50,5339120
20,97,3712167
20,89,11492358
20,95,16089130
20,52,7942372
20,34,1827697
20,86,4153291
20,95,7306930
20,97,2609893
20,92,15266441
20,42,2188266
20,79,1463486
20,20,2753650
20,63,610375
20,75,3559842
20,72,2895906
15,79,29196442
15,55,1962883
15,97,2478135
15,97,1840765
15,95,5947781
15,79,2951609
15,75,2775288
10,92,13261995
10,97,8480547
10,97,13152303
10,79,3478644
10,92,4668757
5,72,792480
5,95,2273534
5,95,624515
0,72,102307738
0,89,40046932
0,63,10783432
0,79,16252168
0,79,29435322
0,55,11338104
0,58,2551834
0,20,1790419
0,66,6322704
0,86,7075978
0,58,5660268
0,58,863394
0,24,14239795
0,50,3199058
0,6,3422941
0,75,4867788
0,31,1750784
0,86,978228
0,32,12172790
0,42,7890525
0,12,21467
0,44,6821887
0,32,2388153
0,31,6940577
0,16,1959241
0,55,7654002
