price,score_rank
0,72
0,89
0,63
0,79
0,79
0,58
0,55
0,20
0,66
0,86
0,58
0,24
0,76
0,6
0,31
0,42
0,53
0,86
0,58
0,32
0,32
0,42
0,31
0,12
0,55
0,76
0,16
3.99,95
3.99,95
4.99,97
6.99,72
9.99,92
9.99,97
9.99,97
9.99,79
9.99,92
14.99,79
14.99,55
14.99,97
14.99,95
14.99,97
14.99,79
14.99,76
19.79,79
19.99,18
19.99,86
19.99,50
19.99,89
19.99,95
19.99,53
19.99,34
19.99,86
19.99,95
19.99,97
19.99,92
19.99,39
19.99,63
19.99,72
19.99,79
19.99,20
19.99,99
19.99,99
23.99,66
24.99,48
24.99,58
24.99,72
24.99,46
29.99,34
29.99,28
29.99,95
29.99,69
29.99,83
29.99,48
29.99,95
29.99,26
29.99,66
34.99,24
34.99,86
39.99,79
39.99,97
39.99,50
39.99,79
39.99,55
39.99,97
39.99,86
44.99,32
49.99,4
49.99,24
49.99,19
59.95,39
59.99,50
59.99,34
59.99,44
59.99,29
59.99,72
59.99,13
59.99,39
59.99,10
59.99,20
59.99,46
59.99,55
